Country,City,Culture,Event,Preferred Color,Preferred Style,Outfit
USA,Houston,Western,Casual Party,Yellow,Modern,Abstract denim skirt with a graphic tee and sneakers
Dubai,Abu Dhabi,Traditional (Middle Eastern),Casual Party,Pastel,Traditional,Geometric casual abaya
England,Bristol,Western,Casual Party,Pink,Traditional,Striped floral A-line dress with a cardigan and ballet flats
Malaysia,Kuching,Chinese,Office Meeting,Navy,Modern,Minimal Embroidery midi dress with cardigan
India,Delhi,Traditional (North Indian),Office Meeting,Earth Tones,Modern,Solid palazzo pants with kurti
USA,Chicago,Western,Wedding,Gold,Modern,Embroidered off-shoulder sequin dress
Sri Lanka,Colombo,Western,Casual Party,Green,Modern,Polka dot denim skirt with a graphic tee and sneakers
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Embroidered velvet gown with gold embroidery
Sri Lanka,Colombo,Western,Office Meeting,Gray,Modern,Pinstripe pleated skirt with sweater
Dubai,Abu Dhabi,Traditional (Middle Eastern),Office Meeting,Navy,Traditional,Solid cloak with dress
England,Manchester,Western,Wedding,Silver,Traditional,Lace sleeveless pleated dress with a belted waist
Sri Lanka,Colombo,Western,Office Meeting,Beige,Traditional,Solid cardigan over dress
USA,Miami,Western,Casual Party,Green,Traditional,Striped blouse with a long skirt and low heels
England,London,Western,Casual Party,Blue,Traditional,Striped conservative shift dress with a belt and pumps
Japan,Tokyo,Traditional Japanese,Casual Party,Pastel,Modern,Floral shirt dress with belt
India,Mumbai,Western,Wedding,Pastel,Traditional,Lace vintage-inspired fit-and-flare dress with lace overlay
India,Delhi,Traditional (North Indian),Wedding,Red,Modern,Embroidered gown with ethnic embroidery
USA,Houston,Western,Office Meeting,Gray,Modern,Checkered ankle-length trousers with blouse
England,Bristol,Western,Office Meeting,Navy,Modern,Solid blazer dress
India,Mumbai,Western,Casual Party,Green,Traditional,Striped blouse with a long skirt and low heels
England,Bristol,Western,Casual Party,Green,Traditional,Polka dot button-up shirt with tailored trousers and loafers
USA,Chicago,Latino,Casual Party,Multicolor,Traditional,Frills off-shoulder dress with belt
Malaysia,Ipoh,Chinese,Wedding,Red,Traditional,Beaded phoenix embroidered dress
Malaysia,Kuching,Indian,Wedding,Maroon,Traditional,Embroidered Zardosi work lehenga
India,Bangalore,Traditional (South Indian),Casual Party,Bright,Modern,Printed palazzo pants with kurti
England,Bristol,South Asian,Casual Party,Bright,Traditional,Printed handloom saree
India,Mumbai,Western,Office Meeting,Black,Modern,Pinstripe culottes with shirt
England,Bristol,South Asian,Office Meeting,Cream,Modern,Solid saree with simple patterns
England,London,Western,Office Meeting,Navy,Modern,Solid pencil skirt with blouse
Japan,Tokyo,Western,Wedding,Gold,Traditional,Beaded knee-length lace dress with cap sleeves
India,Mumbai,Traditional (North Indian),Wedding,Gold,Modern,Zari jacket style lehenga
Malaysia,Kuching,Indian,Casual Party,Bright,Modern,Floral long skirt with crop top
England,Manchester,Western,Wedding,Gold,Traditional,Embroidered classic wrap dress with a subtle floral pattern
Malaysia,Ipoh,Chinese,Office Meeting,Gray,Traditional,Solid brocade jacket with pants
Malaysia,Kuching,Chinese,Wedding,Silver,Modern,Traditional Motifs lace cheongsam
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Silver,Traditional,Embroidered thobe with intricate designs
Sri Lanka,Colombo,Western,Office Meeting,Beige,Traditional,Checkered blouse with long skirt
USA,New York,Western,Casual Party,Blue,Traditional,Floral sweater dress with tights and ankle boots
India,Mumbai,Traditional (North Indian),Wedding,Red,Traditional,Beaded heavy embroidered saree
Malaysia,Kuching,Chinese,Casual Party,Pastel,Traditional,Geometric embroidered jacket with pants
England,London,Western,Casual Party,Blue,Modern,Abstract leggings with an oversized tunic and ballet flats
USA,Chicago,Western,Wedding,Gold,Modern,Embroidered ivory lace evening gown
England,Bristol,Western,Casual Party,Green,Modern,Floral denim skirt with a graphic tee and sneakers
Dubai,Abu Dhabi,Traditional (Middle Eastern),Office Meeting,Beige,Traditional,Solid cloak with dress
England,London,African/Caribbean,Casual Party,Multicolor,Traditional,Tribal kitenge dress
Malaysia,Ipoh,Indian,Wedding,Gold,Modern,Embroidered crop top with skirt
USA,Chicago,Latino,Office Meeting,White,Modern,Solid tailored pants with peplum top
USA,New York,Latino,Wedding,Red,Modern,Lace floral applique gown with a fitted bodice
USA,Chicago,Black,Wedding,Kente Colors,Traditional,Ankara Print Swahili kanga dress
Japan,Osaka,Traditional Japanese,Wedding,White,Traditional,Embroidered kakeshita kimono
Sri Lanka,Jaffna,Traditional (Tamil),Office Meeting,Cream,Modern,Minimal Embroidery plain saree
England,London,Western,Office Meeting,Navy,Traditional,Checkered knee-length skirt with blouse
USA,Miami,Latino,Casual Party,Bright,Modern,Floral jumpsuit with ruffles
Sri Lanka,Kandy,Traditional (Sinhala),Office Meeting,Cream,Modern,Minimal Embroidery culottes with fitted shirt and understated accents
Malaysia,Kuching,Chinese,Office Meeting,White,Modern,Solid shift dress with embroidery
Dubai,Dubai,Traditional (Middle Eastern),Wedding,Silver,Modern,Sequined ball gown with sleeves
USA,Chicago,Black,Office Meeting,Earth Tones,Traditional,Subtle Ankara Print mudcloth tunic with pants
Dubai,Sharjah,Traditional (Middle Eastern),Casual Party,Earth Tones,Modern,Printed printed maxi dress
USA,New York,Western,Casual Party,Red,Modern,Floral romper with lace details and strappy heels
India,Chennai,Traditional (South Indian),Wedding,Green,Modern,Embroidered gown with ethnic motifs
India,Mumbai,Western,Wedding,White,Modern,Beaded silver beaded sheath gown
Malaysia,Kuching,Malay,Casual Party,Bright,Modern,Batik printed dress with hijab
India,Bangalore,Traditional (South Indian),Casual Party,Pastel,Traditional,Batik kerala saree
Sri Lanka,Colombo,Traditional (Sinhala),Office Meeting,Cream,Modern,Solid blazer with pencil skirt and subtle embroidery
England,London,Western,Wedding,Ivory,Traditional,Beaded vintage-inspired fit-and-flare dress with lace overlay
USA,Miami,Western,Casual Party,Pink,Traditional,Striped knee-length skirt with a blouse and pearl necklace
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Gold,Modern,Sequined kaftan with modern design
Japan,Osaka,Traditional Japanese,Office Meeting,Muted,Traditional,Subtle Patterns komon kimono
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Embroidered gold-threaded dress
India,Mumbai,Western,Wedding,White,Traditional,Lace vintage-inspired fit-and-flare dress with lace overlay
Malaysia,Ipoh,Malay,Wedding,Gold,Modern,Embroidered embroidered gown
USA,Houston,Western,Casual Party,Red,Traditional,Floral button-up shirt with tailored trousers and loafers
USA,Miami,Latino,Casual Party,Vibrant,Modern,Frills wrap dress with bold patterns
USA,Chicago,Black,Wedding,Kente Colors,Modern,Kente Patterns asymmetrical gown with beaded accents
India,Bangalore,Traditional (South Indian),Wedding,Green,Traditional,Beaded saree with intricate motifs
USA,Chicago,Black,Wedding,Gold,Traditional,Beaded Zulu traditional attire
Japan,Osaka,Traditional Japanese,Wedding,White,Modern,Embroidered gown with Japanese embroidery
India,Mumbai,Western,Office Meeting,Navy,Traditional,Pinstripe midi skirt with jacket
Malaysia,Ipoh,Indian,Casual Party,Bright,Modern,Printed churidar
India,Delhi,Traditional (North Indian),Wedding,Pink,Modern,Beaded fusion wear dress
USA,Chicago,Latino,Office Meeting,Brown,Traditional,Solid peasant top with skirt
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Cream,Modern,Beaded lehenga
USA,New York,Latino,Casual Party,Bright,Traditional,Frills lace top with flowing skirt
USA,Houston,Western,Wedding,Silver,Modern,Beaded off-shoulder sequin dress
Japan,Tokyo,Traditional Japanese,Casual Party,Pastel,Modern,Traditional Prints summer dress
Dubai,Al Ain,Traditional (Middle Eastern),Casual Party,Earth Tones,Modern,Floral long skirt with blouse
England,Bristol,Western,Wedding,Pastel,Modern,Embroidered gold strapless gown with crystal embellishments
USA,Houston,Black,Wedding,Kente Colors,Modern,Beaded asymmetrical gown with beaded accents
England,Manchester,African/Caribbean,Casual Party,Vibrant,Modern,Tribal fringed top with capris
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Bright,Traditional,Floral simple saree with contrast blouse
Sri Lanka,Colombo,Traditional (Sinhala),Office Meeting,Pastel,Modern,Solid wrap dress with formal detailing and modest fit
Dubai,Abu Dhabi,Traditional (Middle Eastern),Casual Party,Pastel,Traditional,Floral jalabiya with minimal embroidery
Dubai,Abu Dhabi,Traditional (Middle Eastern),Office Meeting,Black,Traditional,Minimal Embroidery traditional jalabiya
Malaysia,Ipoh,Malay,Office Meeting,Beige,Modern,Solid blazer over baju kurung
USA,New York,Western,Wedding,Pastel,Traditional,Embroidered tea-length silk dress with a jacket
USA,New York,Western,Wedding,Silver,Modern,Lace gold strapless gown with crystal embellishments
England,Manchester,Western,Wedding,Pastel,Modern,Beaded ivory lace evening gown
Sri Lanka,Jaffna,Traditional (Tamil),Casual Party,Vibrant,Traditional,Block Print kantha work saree
Japan,Osaka,Traditional Japanese,Casual Party,Bright,Modern,Floral kimono-style top with jeans
Sri Lanka,Galle,Traditional (Sinhala),Wedding,White,Modern,Embroidered ball gown
India,Mumbai,Traditional (North Indian),Office Meeting,Cream,Modern,Solid saree with simple border
USA,Chicago,Latino,Wedding,Yellow,Traditional,Embroidered fringed shawl over a traditional gown
USA,Chicago,Western,Wedding,Pastel,Traditional,Embroidered long-sleeve chiffon dress with an empire waist
USA,Chicago,Western,Casual Party,Green,Modern,Abstract sundress with floral prints and sandals
Malaysia,Kuantan,Malay,Casual Party,Pastel,Traditional,Printed baju kurung kedah
USA,New York,Western,Wedding,Silver,Modern,Beaded asymmetrical tulle dress with floral appliqués
India,Mumbai,Traditional (North Indian),Wedding,Pink,Traditional,Sequined Sharara suit
USA,Chicago,Latino,Wedding,Red,Traditional,Ruffles off-shoulder lace dress with detailed embroidery
England,Manchester,African/Caribbean,Wedding,Bright,Modern,Kente asymmetrical hem dress
Sri Lanka,Colombo,Western,Wedding,White,Traditional,Lace pleated midi skirt with a blouse and matching bolero
USA,New York,Western,Casual Party,Red,Traditional,Abstract turtleneck sweater with a pleated skirt and loafers
Sri Lanka,Colombo,Western,Casual Party,Yellow,Modern,Floral maxi skirt with a fitted tank top and flats
Sri Lanka,Jaffna,Traditional (Tamil),Office Meeting,Beige,Modern,Solid kurti with trousers
Japan,Tokyo,Western,Office Meeting,Navy,Modern,Pinstripe pleated skirt with sweater
England,Manchester,Western,Office Meeting,Navy,Traditional,Checkered conservative dress
England,Bristol,South Asian,Casual Party,Pastel,Modern,Printed Anarkali suit
USA,Houston,Western,Casual Party,Pink,Traditional,Floral floral A-line dress with a cardigan and ballet flats
USA,Houston,Western,Casual Party,Yellow,Traditional,Striped floral A-line dress with a cardigan and ballet flats
USA,Chicago,Latino,Wedding,Yellow,Traditional,Embroidered off-shoulder lace dress with detailed embroidery
Malaysia,Ipoh,Chinese,Casual Party,Bright,Modern,Floral tunic with leggings
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Maroon,Modern,Beaded gown with ethnic motifs
Japan,Kyoto,Traditional Japanese,Wedding,Red,Traditional,Traditional Motifs gold embroidered kimono
USA,Miami,Western,Casual Party,Red,Traditional,Striped twinset with a pencil skirt and classic pumps
India,Bangalore,Traditional (South Indian),Wedding,Green,Traditional,Embroidered saree with paisley design
India,Chennai,Traditional (South Indian),Wedding,Green,Modern,Embroidered crop top with skirt
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Earth Tones,Modern,Printed long skirt with blouse
England,Manchester,African/Caribbean,Wedding,Turquoise,Modern,Ankara asymmetrical hem dress
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Pastel,Traditional,Floral ethnic skirt with top
England,Bristol,Western,Casual Party,Green,Modern,Polka dot maxi skirt with a fitted tank top and flats
England,Manchester,Western,Wedding,Ivory,Modern,Beaded gold strapless gown with crystal embellishments
Japan,Tokyo,Western,Casual Party,Pink,Traditional,Abstract cardigan over a dress with Mary Jane shoes
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Pink,Modern,Zari jacket style saree
Malaysia,Kuching,Malay,Office Meeting,Cream,Traditional,Minimal Embroidery embroidered baju kurung
USA,Houston,Western,Office Meeting,Beige,Traditional,Solid twinset with skirt
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Cream,Modern,Beaded Anarkali gown
India,Mumbai,Western,Wedding,Ivory,Modern,Beaded asymmetrical tulle dress with floral appliqués
Japan,Tokyo,Traditional Japanese,Wedding,Red,Traditional,Traditional Motifs shiromuku (white wedding kimono)
Sri Lanka,Colombo,Western,Casual Party,Yellow,Modern,Striped crop top with high-waisted pants and block heels
Malaysia,Kuantan,Malay,Casual Party,Bright,Traditional,Floral casual baju kebaya
England,Bristol,Western,Casual Party,Yellow,Traditional,Polka dot floral A-line dress with a cardigan and ballet flats
USA,Chicago,Latino,Office Meeting,Brown,Modern,Solid culottes with vibrant shirt
India,Bangalore,Traditional (South Indian),Wedding,Maroon,Traditional,Zari silk saree with temple border
Malaysia,Kuching,Chinese,Office Meeting,White,Modern,Minimal Embroidery midi dress with cardigan
USA,New York,Latino,Wedding,Yellow,Traditional,Lace flamenco-style dress with tiered ruffles
India,Mumbai,Western,Wedding,Pastel,Traditional,Beaded tea-length silk dress with a jacket
India,Mumbai,Traditional (North Indian),Wedding,Pink,Modern,Beaded fancy saree
England,London,Western,Casual Party,Blue,Modern,Abstract off-shoulder blouse with high-waisted jeans and heels
Malaysia,Ipoh,Malay,Office Meeting,Beige,Traditional,Solid kebaya with sarong
England,Manchester,African/Caribbean,Casual Party,Orange,Traditional,Floral wrap skirt with blouse
Malaysia,Kuching,Indian,Casual Party,Vibrant,Modern,Printed cold shoulder kurti
Malaysia,Ipoh,Chinese,Office Meeting,White,Modern,Solid skirt suit with Chinese motifs
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,White,Modern,Lace ball gown
Sri Lanka,Colombo,Western,Casual Party,Green,Modern,Striped shorts with a flowy blouse and espadrilles
Sri Lanka,Colombo,Western,Wedding,White,Traditional,Embroidered classic wrap dress with a subtle floral pattern
Sri Lanka,Kandy,Traditional (Sinhala),Office Meeting,Beige,Traditional,Minimal Embroidery saree with traditional Kandyan draping and floral lace accents
England,Manchester,African/Caribbean,Casual Party,Orange,Traditional,Geometric boubou with headwrap
England,Bristol,Western,Wedding,Pastel,Traditional,Beaded conservative high-neck sheath dress with a pearl collar
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Silver,Modern,Sequined evening gown
Malaysia,Kuching,Chinese,Wedding,Red,Traditional,Beaded red bridal cheongsam
USA,Chicago,Western,Office Meeting,Gray,Traditional,Checkered sweater dress
England,London,African/Caribbean,Wedding,Bright,Modern,Ankara asymmetrical hem dress
USA,Chicago,Latino,Wedding,Gold,Traditional,Ruffles mantilla veil paired with an embroidered gown
England,London,Western,Office Meeting,Black,Modern,Pinstripe business suit
India,Mumbai,Traditional (North Indian),Wedding,Maroon,Traditional,Embroidered Kundan work saree
England,Manchester,Western,Wedding,White,Modern,Beaded silver beaded sheath gown
USA,New York,Western,Wedding,Ivory,Traditional,Lace sleeveless pleated dress with a belted waist
Japan,Tokyo,Traditional Japanese,Wedding,Gold,Modern,Embroidered off-shoulder dress
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Cream,Modern,Embroidered fusion wear dress
Sri Lanka,Colombo,Traditional (Sinhala),Office Meeting,Pastel,Modern,Minimal Embroidery blazer with ankle-length trousers and modest patterns
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,Maroon,Modern,Embroidered lehenga
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Pastel,Modern,Batik maxi dress
Malaysia,Kuching,Indian,Office Meeting,Earth Tones,Modern,Solid saree with simple border
India,Chennai,Traditional (South Indian),Wedding,Maroon,Traditional,Beaded silk saree with temple border
USA,Chicago,Latino,Office Meeting,White,Traditional,Subtle Embroidery embroidered blouse with skirt
England,London,Western,Wedding,White,Modern,Beaded halter-neck satin gown
England,Manchester,African/Caribbean,Casual Party,Yellow,Traditional,Floral kanga wrap dress
India,Mumbai,Western,Casual Party,Red,Traditional,Floral conservative shift dress with a belt and pumps
Japan,Kyoto,Traditional Japanese,Wedding,Silver,Traditional,Embroidered wedding kimono with cranes
India,Delhi,Traditional (North Indian),Wedding,Maroon,Traditional,Beaded Sharara suit
England,Bristol,South Asian,Wedding,Gold,Modern,Sequined gown with ethnic motifs
England,London,African/Caribbean,Casual Party,Yellow,Modern,Tribal peplum blouse with leggings
Sri Lanka,Colombo,Western,Office Meeting,Navy,Traditional,Pinstripe turtleneck sweater with skirt
England,London,African/Caribbean,Casual Party,Orange,Traditional,Geometric wrap skirt with blouse
Malaysia,Kuching,Chinese,Casual Party,Bright,Modern,Printed jumpsuit with mandarin collar
Malaysia,Kuching,Chinese,Wedding,Silver,Traditional,Embroidered kwa (traditional wedding dress)
USA,New York,Western,Office Meeting,Gray,Modern,Pinstripe shift dress
Dubai,Abu Dhabi,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Sequined gown with veil and hijab
USA,New York,Latino,Casual Party,Vibrant,Traditional,Frills peasant blouse with skirt
England,Bristol,Western,Office Meeting,Gray,Modern,Solid tailored trousers with blazer
USA,Houston,Black,Casual Party,Multicolor,Traditional,Geometric kanga wrap dress
England,Bristol,South Asian,Casual Party,Bright,Modern,Block Print kurti with leggings
India,Delhi,Traditional (North Indian),Wedding,Pink,Traditional,Embroidered Phulkari embroidered lehenga
England,Manchester,African/Caribbean,Wedding,Purple,Modern,Kente ball gown with bold prints
India,Chennai,Traditional (South Indian),Casual Party,Bright,Traditional,Floral handloom saree
India,Mumbai,Western,Office Meeting,Gray,Traditional,Solid button-up shirt with slacks
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Earth Tones,Modern,Batik wrap dress
India,Delhi,Traditional (North Indian),Casual Party,Pastel,Traditional,Floral block print suit
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Bright,Traditional,Floral long tunic with pants
Malaysia,Ipoh,Malay,Casual Party,Multicolor,Modern,Batik stylish baju kurung
Malaysia,Kuching,Chinese,Wedding,Red,Modern,Embroidered modern cheongsam
Dubai,Sharjah,Traditional (Middle Eastern),Casual Party,Bright,Modern,Geometric palazzo pants with top
Malaysia,Ipoh,Indian,Office Meeting,Pastel,Traditional,Minimal Embroidery linen saree
Sri Lanka,Galle,Traditional (Sinhala),Office Meeting,Pastel,Traditional,Minimal Embroidery saree with traditional Kandyan draping and floral lace accents
Japan,Tokyo,Western,Wedding,Silver,Traditional,Embroidered long-sleeve chiffon dress with an empire waist
England,Manchester,Western,Office Meeting,Navy,Modern,Checkered ankle-length trousers with blouse
Japan,Kyoto,Traditional Japanese,Casual Party,Pastel,Traditional,Floral komon kimono with obi
USA,New York,Latino,Wedding,Orange,Traditional,Ruffles ruffled train dress with floral appliqué
Malaysia,Kuching,Malay,Wedding,Silver,Modern,Embroidered peplum dress
USA,Houston,Western,Wedding,White,Modern,Embroidered embroidered illusion gown with lace details
England,London,Western,Office Meeting,Black,Modern,Solid pleated skirt with sweater
India,Mumbai,Traditional (North Indian),Wedding,Gold,Modern,Beaded cape style saree
England,London,African/Caribbean,Office Meeting,Gray,Traditional,Solid dashiki top with trousers
Malaysia,Kuching,Malay,Casual Party,Bright,Traditional,Floral embroidered baju kurung
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Emerald,Traditional,Embroidered velvet gown with gold embroidery
USA,New York,Western,Office Meeting,Gray,Modern,Checkered culottes with shirt
England,Bristol,South Asian,Office Meeting,Earth Tones,Modern,Solid kurti with trousers
Malaysia,Kuching,Chinese,Casual Party,Bright,Traditional,Floral embroidered jacket with pants
England,London,African/Caribbean,Wedding,Turquoise,Modern,Kente asymmetrical hem dress
USA,Miami,Western,Office Meeting,Beige,Modern,Solid shift dress
England,Manchester,Western,Casual Party,Red,Traditional,Floral conservative shift dress with a belt and pumps
USA,Houston,Western,Wedding,White,Traditional,Lace pastel midi dress with a modest neckline
England,Bristol,Western,Office Meeting,Navy,Modern,Solid ankle-length trousers with blouse
Dubai,Dubai,Traditional (Middle Eastern),Casual Party,Earth Tones,Traditional,Geometric cloak over outfit
England,London,Western,Wedding,Gold,Traditional,Beaded floral A-line dress with a matching shawl
Sri Lanka,Colombo,Western,Casual Party,Green,Modern,Polka dot jeans with a stylish off-shoulder top and wedges
Sri Lanka,Colombo,Traditional (Sinhala),Wedding,White,Traditional,Embroidered saree with silver work
USA,Houston,Western,Wedding,White,Traditional,Beaded pleated midi skirt with a blouse and matching bolero
Dubai,Al Ain,Traditional (Middle Eastern),Casual Party,Pastel,Traditional,Geometric hijab with maxi dress
Malaysia,Ipoh,Chinese,Casual Party,Pastel,Modern,Printed skirt with embroidered blouse
Malaysia,Ipoh,Indian,Casual Party,Bright,Modern,Printed printed jumpsuit
USA,Chicago,Latino,Wedding,Orange,Traditional,Ruffles fringed shawl over a traditional gown
Malaysia,Kuching,Chinese,Wedding,Silver,Modern,Beaded mermaid dress with Chinese motifs
USA,Miami,Latino,Office Meeting,Brown,Traditional,Solid tiered skirt with blouse
India,Bangalore,Traditional (South Indian),Office Meeting,Beige,Traditional,Solid saree with zari border
USA,Chicago,Western,Wedding,White,Traditional,Lace long-sleeve chiffon dress with an empire waist
India,Bangalore,Traditional (South Indian),Wedding,Gold,Modern,Zari lehenga
USA,Chicago,Black,Wedding,Gold,Traditional,Beaded Ashanti Kente gown
Malaysia,Kuching,Indian,Casual Party,Pastel,Traditional,Printed bandhani print suit
Sri Lanka,Colombo,Western,Wedding,Ivory,Traditional,Lace floral A-line dress with a matching shawl
Dubai,Abu Dhabi,Traditional (Middle Eastern),Casual Party,Bright,Modern,Printed jumpsuit with sleeves
USA,New York,Western,Office Meeting,Beige,Traditional,Solid dress with pantyhose
Dubai,Al Ain,Traditional (Middle Eastern),Office Meeting,Gray,Traditional,Minimal Embroidery embroidered abaya
USA,Chicago,Black,Office Meeting,Brown,Modern,Solid tailored pants with Ankara top
USA,New York,Latino,Office Meeting,Beige,Modern,Subtle Embroidery shift dress with belt
India,Chennai,Traditional (South Indian),Casual Party,Vibrant,Traditional,Batik batik print kurti with palazzos
Malaysia,Ipoh,Malay,Casual Party,Multicolor,Traditional,Printed casual baju kebaya
Japan,Osaka,Traditional Japanese,Casual Party,Pastel,Traditional,Traditional Prints obi belt over dress
USA,Chicago,Western,Wedding,Pastel,Traditional,Beaded floral A-line dress with a matching shawl
England,London,Western,Casual Party,Green,Modern,Floral sundress with floral prints and sandals
USA,Houston,Western,Wedding,Gold,Modern,Beaded halter-neck satin gown
England,Bristol,Western,Casual Party,Yellow,Traditional,Polka dot sweater dress with tights and ankle boots
Dubai,Al Ain,Traditional (Middle Eastern),Office Meeting,Beige,Modern,Solid blazer with modest dress
USA,Chicago,Western,Office Meeting,Black,Modern,Pinstripe ankle-length trousers with blouse
Malaysia,Kuching,Indian,Wedding,Maroon,Modern,Zari fusion wear dress
Malaysia,Kuching,Chinese,Casual Party,Pastel,Modern,Printed peplum top with skirt
Dubai,Sharjah,Traditional (Middle Eastern),Casual Party,Earth Tones,Traditional,Printed cloak over outfit
Malaysia,Kuantan,Malay,Office Meeting,Pastel,Modern,Minimal Embroidery midi dress with cardigan
India,Bangalore,Traditional (South Indian),Wedding,Red,Traditional,Zari Kanjeevaram saree
Sri Lanka,Colombo,Western,Office Meeting,Beige,Modern,Solid business suit
Dubai,Sharjah,Traditional (Middle Eastern),Wedding,Silver,Modern,Beaded evening gown
USA,Houston,Western,Wedding,Ivory,Traditional,Lace classic wrap dress with a subtle floral pattern
England,London,Western,Wedding,Pastel,Modern,Lace ivory lace evening gown
USA,Chicago,Black,Office Meeting,Brown,Traditional,Solid Kitenge skirt with blouse
England,Manchester,Western,Office Meeting,Navy,Modern,Pinstripe wrap dress
USA,Chicago,Black,Office Meeting,Navy,Modern,Subtle Ankara Print dress with tribal print accents
USA,New York,Western,Casual Party,Red,Traditional,Floral knee-length skirt with a blouse and pearl necklace
Malaysia,Kuching,Malay,Office Meeting,Pastel,Traditional,Minimal Embroidery batik print baju kurung
Sri Lanka,Colombo,Western,Office Meeting,Black,Modern,Solid blazer dress
Sri Lanka,Colombo,Western,Office Meeting,Beige,Traditional,Solid conservative dress
Sri Lanka,Galle,Traditional (Sinhala),Casual Party,Earth Tones,Modern,Floral wrap dress
Malaysia,Ipoh,Indian,Casual Party,Bright,Traditional,Printed phulkari dupatta with suit
USA,Houston,Western,Casual Party,Blue,Traditional,Floral turtleneck sweater with a pleated skirt and loafers
Dubai,Dubai,Traditional (Middle Eastern),Office Meeting,Black,Modern,Minimal Embroidery pantsuit with hijab
Japan,Tokyo,Western,Casual Party,Pink,Traditional,Floral knee-length skirt with a blouse and pearl necklace
Malaysia,Ipoh,Chinese,Casual Party,Bright,Traditional,Geometric silk blouse with skirt
England,Manchester,African/Caribbean,Office Meeting,Earth Tones,Traditional,Subtle Prints gele headwrap with dress
England,Bristol,Western,Wedding,Ivory,Modern,Beaded ivory lace evening gown
USA,Chicago,Western,Wedding,Silver,Modern,Embroidered silver beaded sheath gown
Sri Lanka,Colombo,Traditional (Sinhala),Office Meeting,Beige,Traditional,Solid Kandyan saree with lace detailing and embroidered borders
Malaysia,Kuantan,Malay,Office Meeting,Light Blue,Traditional,Solid embroidered baju kurung
Malaysia,Kuching,Malay,Wedding,Maroon,Traditional,Lace traditional wedding dress
India,Mumbai,Western,Office Meeting,Black,Traditional,Solid blouse with long skirt
England,Manchester,Western,Wedding,Silver,Modern,Beaded asymmetrical tulle dress with floral appliqués
England,Manchester,African/Caribbean,Wedding,Gold,Modern,Kente lace dress
Japan,Tokyo,Western,Office Meeting,Navy,Traditional,Pinstripe midi skirt with jacket
Malaysia,Kuching,Chinese,Casual Party,Pastel,Traditional,Printed brocade skirt with top
USA,Chicago,Latino,Wedding,Gold,Modern,Lace backless dress with intricate beading
USA,Miami,Latino,Wedding,Red,Modern,Ruffles asymmetrical hem dress with lace trim
USA,New York,Latino,Casual Party,Multicolor,Modern,Floral sundress
Japan,Tokyo,Traditional Japanese,Wedding,Gold,Modern,Floral evening gown
USA,Houston,Western,Office Meeting,Gray,Modern,Solid ankle-length trousers with blouse
England,Bristol,South Asian,Office Meeting,Pastel,Traditional,Solid silk blend saree
USA,Chicago,Black,Wedding,Gold,Traditional,Kente Patterns gele headwrap with lace dress
Malaysia,Ipoh,Indian,Office Meeting,Cream,Modern,Minimal Embroidery kurti with trousers
Japan,Tokyo,Western,Wedding,Pastel,Modern,Lace off-shoulder sequin dress
England,London,Western,Wedding,Gold,Traditional,Embroidered tea-length silk dress with a jacket
Sri Lanka,Colombo,Western,Casual Party,Green,Modern,Striped off-shoulder blouse with high-waisted jeans and heels
Malaysia,Kuching,Chinese,Wedding,Silver,Traditional,Traditional Motifs dragon and phoenix gown
Malaysia,Ipoh,Chinese,Office Meeting,White,Modern,Minimal Embroidery pantsuit
USA,Chicago,Black,Office Meeting,Black,Traditional,Solid boubou dress
USA,Chicago,Black,Office Meeting,Navy,Modern,Subtle Ankara Print Ankara blazer with trousers
Japan,Tokyo,Traditional Japanese,Wedding,White,Traditional,Floral furisode kimono
India,Delhi,Traditional (North Indian),Office Meeting,Pastel,Modern,Solid cotton saree
India,Mumbai,Western,Casual Party,Blue,Modern,Abstract jeans with a stylish off-shoulder top and wedges
England,London,Western,Casual Party,Red,Modern,Polka dot sundress with floral prints and sandals
USA,New York,Western,Casual Party,Pink,Traditional,Abstract midi skirt with a sweater and kitten heels
USA,Chicago,Black,Wedding,Vibrant,Modern,Beaded evening gown with Ankara accents
Dubai,Al Ain,Traditional (Middle Eastern),Wedding,Gold,Traditional,Sequined embroidered cloak
